,nasdaq_t100,short_term_rates,long_term_rates,dollar_index,vix_index,Laid_Off_Count
2021-03-09,7592.3701171875,0.05,1.55,91.95999908447266,24.030000686645508,47.0
2021-03-10,7493.43994140625,0.04,1.53,91.79000091552734,22.559999465942383,0.0
2021-03-11,7780.58984375,0.04,1.54,91.41999816894531,21.90999984741211,0.0
2021-03-12,7661.0,0.04,1.64,91.68000030517578,20.690000534057617,0.0
2021-03-15,7803.3798828125,0.04,1.62,91.83000183105469,20.030000686645508,0.0
2021-03-16,7852.580078125,0.02,1.62,91.87000274658203,19.790000915527344,0.0
2021-03-17,7906.740234375,0.02,1.63,91.4000015258789,19.229999542236328,0.0
2021-03-18,7604.509765625,0.01,1.71,91.8499984741211,21.579999923706055,0.0
2021-03-19,7681.990234375,0.01,1.74,91.91999816894531,20.950000762939453,0.0
2021-03-22,7838.43994140625,0.03,1.69,91.80000305175781,18.8799991607666,0.0
2021-03-23,7734.919921875,0.01,1.63,92.33999633789062,20.299999237060547,0.0
2021-03-24,7594.740234375,0.02,1.62,92.52999877929688,21.200000762939453,50.0
2021-03-25,7547.22021484375,0.02,1.63,92.87999725341797,19.809999465942383,0.0
2021-03-26,7810.72021484375,0.02,1.67,92.7699966430664,18.860000610351562,0.0
2021-03-29,7724.81005859375,0.03,1.73,92.94000244140625,20.739999771118164,0.0
2021-03-30,7685.35986328125,0.02,1.73,93.30000305175781,19.610000610351562,0.0
2021-03-31,7866.83984375,0.03,1.74,93.2300033569336,19.399999618530273,0.0
2021-04-01,8103.52978515625,0.02,1.69,92.93000030517578,17.329999923706055,0.0
2021-04-05,8245.2001953125,0.03,1.73,92.5999984741211,17.90999984741211,0.0
2021-04-06,8193.0400390625,0.02,1.67,92.33999633789062,18.1200008392334,160.0
2021-04-07,8173.75,0.02,1.68,92.45999908447266,17.15999984741211,0.0
2021-04-08,8298.5498046875,0.01,1.64,92.05999755859375,16.950000762939453,0.0
2021-04-09,8304.740234375,0.02,1.67,92.16000366210938,16.690000534057617,0.0
2021-04-12,8251.490234375,0.02,1.69,92.13999938964844,16.90999984741211,0.0
2021-04-13,8328.009765625,0.03,1.64,91.8499984741211,16.649999618530273,0.0
2021-04-14,8224.830078125,0.02,1.64,91.69000244140625,16.989999771118164,0.0
2021-04-15,8377.7001953125,0.02,1.56,91.66999816894531,16.56999969482422,0.0
2021-04-16,8323.419921875,0.02,1.59,91.55999755859375,16.25,0.0
2021-04-19,8164.64013671875,0.02,1.61,91.06999969482422,17.290000915527344,0.0
2021-04-20,8075.93017578125,0.03,1.58,91.23999786376953,18.68000030517578,0.0
2021-04-21,8213.2900390625,0.03,1.57,91.16000366210938,17.5,0.0
2021-04-22,8109.85009765625,0.03,1.57,91.33000183105469,18.709999084472656,0.0
2021-04-23,8259.330078125,0.03,1.58,90.86000061035156,17.329999923706055,0.0
2021-04-26,8374.23046875,0.03,1.58,90.80999755859375,17.639999389648438,36.0
2021-04-27,8321.0703125,0.01,1.63,90.91000366210938,17.559999465942383,0.0
2021-04-28,8264.759765625,0.01,1.63,90.61000061035156,17.280000686645508,0.0
2021-04-29,8286.6103515625,0.01,1.65,90.61000061035156,17.610000610351562,111.0
2021-04-30,8121.35986328125,0.01,1.65,91.27999877929688,18.610000610351562,0.0
2021-05-03,8022.72998046875,0.04,1.63,90.94999694824219,18.309999465942383,0.0
2021-05-04,7863.02001953125,0.02,1.61,91.29000091552734,19.479999542236328,0.0
2021-05-05,7859.22998046875,0.02,1.59,91.30999755859375,19.149999618530273,69.0
2021-05-06,7853.18994140625,0.02,1.58,90.94999694824219,18.389999389648438,0.0
2021-05-07,7939.97998046875,0.02,1.60,90.2300033569336,16.690000534057617,0.0
2021-05-10,7665.5,0.02,1.63,90.20999908447266,19.65999984741211,0.0
2021-05-11,7718.93017578125,0.01,1.64,90.13999938964844,21.84000015258789,0.0
2021-05-12,7468.7099609375,0.02,1.69,90.70999908447266,27.59000015258789,0.0
2021-05-13,7503.0,0.02,1.66,90.75,23.1299991607666,0.0
2021-05-14,7706.9599609375,0.01,1.63,90.31999969482422,18.809999465942383,0.0
2021-05-17,7644.7099609375,0.02,1.64,90.22000122070312,19.719999313354492,0.0
2021-05-18,7596.8701171875,0.02,1.64,89.75,21.34000015258789,0.0
2021-05-19,7690.0,0.01,1.68,90.19000244140625,22.18000030517578,0.0
